"OTU" "name" "all" "AF_A" "AF_B" "AM_A" "AM_B" "AQ_A" "AQ_B" "AX_A" "AX_B" "BB_A" "BB_B" "BF_A" "BF_B" "BI_A" "BI_B" "BM_A" "BM_B" "BU_A" "BU_B" "BX_A" "BX_B"
"1" 1 "BX_A_15800_3_672*" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"2" 2 "BI_B_28732_3_792*" 2 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0
"3" 3 "BI_B_25517_3_217*" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"4" 4 "BX_B_33757_3_149*" 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2
"5" 5 "BX_B_35054_3_36*" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
"6" 6 "BI_B_21623_3_274*" 2 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0
"7" 7 "BI_B_33189_3_749*" 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1
"8" 8 "BI_B_9896_3_138*" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"9" 9 "BU_B_177636_4_400*" 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1
"10" 10 "BU_A_102506_4_2*" 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0
"11" 11 "BI_B_12584_3_127*" 4 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 1 0 0
"12" 12 "BI_B_5847_3_534*" 6 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 4 0 0
"13" 13 "BI_A_3006_3_919*" 2 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0
"14" 14 "BX_B_11946_3_478*" 9 0 0 0 0 0 0 0 0 0 0 0 0 4 2 0 0 0 2 0 1
"15" 15 "BI_B_15317_3_635*" 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0
"16" 16 "BI_A_942_3_178*" 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"17" 17 "BI_B_23881_3_768*" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"18" 18 "BI_A_19396_3_107*" 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"19" 19 "BI_B_30298_3_820*" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"20" 20 "BX_B_10393_3_651*" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
"21" 21 "BI_B_46037_3_147*" 15 0 0 0 0 0 0 0 0 0 0 0 0 3 7 0 0 1 0 0 4
"22" 22 "BI_B_5607_3_880*" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"23" 23 "BI_B_47507_3_867*" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"24" 24 "BI_A_31819_3_941*" 2 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0
"25" 25 "BI_B_49676_3_729*" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"26" 26 "BI_A_5433_3_110*" 10 0 0 0 0 0 0 0 0 0 0 0 0 4 4 0 0 0 0 0 2
"27" 27 "BI_B_4809_3_806*" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"28" 28 "BI_A_22035_3_636*" 2 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0
"29" 29 "BU_B_180325_4_933*" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
"30" 30 "BI_B_48890_3_83*" 3 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0
"31" 31 "BX_B_25041_3_1*" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
"32" 32 "BX_A_29_3_323*" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"33" 33 "BI_B_4977_3_986*" 3 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 1
"34" 34 "BI_A_21953_3_117*" 2 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0
"35" 35 "BI_A_15294_3_9*" 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"36" 36 "BI_A_930_3_697*" 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"37" 37 "BX_B_1718_3_270*" 8 0 0 0 0 0 0 0 0 0 0 0 0 3 4 0 0 0 0 0 1
"38" 38 "BX_B_29030_3_594*" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
"39" 39 "BI_B_31130_3_255*" 7 0 0 0 0 0 0 0 0 0 0 0 0 3 3 0 0 0 1 0 0
"40" 40 "BI_B_1367_3_750*" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"41" 41 "BI_B_2277_3_711*" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"42" 42 "BI_A_10632_3_10*" 3 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0
"43" 43 "BI_B_10203_3_205*" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"44" 44 "BI_A_3511_3_294*" 2 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0
"45" 45 "BX_B_27257_3_68*" 8 0 0 0 0 0 0 0 0 0 0 0 0 4 3 0 0 0 0 0 1
"46" 46 "BI_A_25351_3_600*" 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"47" 47 "BX_B_39846_3_456*" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
"48" 48 "BU_B_152807_4_927*" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
"49" 49 "BX_B_25421_3_753*" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
"50" 50 "BI_A_31763_3_761*" 4 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 1 0
"51" 51 "BI_A_3711_3_128*" 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"52" 52 "BI_A_32650_3_842*" 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"53" 53 "BX_B_28211_3_128*" 5 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 1 1
"54" 54 "BI_A_13170_3_532*" 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
